94.1248 	DATA 	Mouse: Left button down, pos=(772,644)
94.2164 	DATA 	Mouse:  Left button up, pos=(772,644)
94.7374 	DATA 	Keypress: space
95.2566 	DATA 	Keypress: space
96.1566 	DATA 	Keypress: space
101.6968 	DATA 	Keypress: space
104.0070 	DATA 	Mouse: Left button down, pos=(1066,524)
104.1276 	DATA 	Mouse:  Left button up, pos=(1067,524)
105.0664 	DATA 	Keypress: space
