condition,inst_wait_keys,inst_onset_time,inst_onset_time_global,inst_flip_time,inst_response,inst_response_time,inst_close_time,inst_close_time_global,stim_duration,stim_onset_time,stim_onset_time_global,stim_onset_trigger,stim_flip_time,stim_close_time,stim_close_time_global,trial_index,block_id
EO,['space'],0.0055922999890754,1745302129,84.2351403000066,space,5.185979400004726,117.64044410000497,1745302135,30,0.0018568999948911369,1745302135,2,89.43749170000956,30.081107299993164,1745302165,0,block_0
EC,['space'],0.004526600008830428,1745302165,119.51897910000116,space,8.42124270000204,156.15947840000445,1745302173,30,0.0038241000002017245,1745302173,1,127.95715840000776,29.99787190000643,1745302203,1,block_0
