11.8227 	DATA 	Mouse: Left button down, pos=(1207,728)
11.9402 	DATA 	Mouse:  Left button up, pos=(1207,728)
13.3790 	DATA 	Mouse: Left button down, pos=(1206,729)
13.4846 	DATA 	Mouse:  Left button up, pos=(1206,729)
13.5522 	DATA 	Keypress: space
14.7221 	DATA 	Keypress: space
20.5521 	DATA 	Keypress: space
21.7222 	DATA 	Keypress: space
22.2229 	DATA 	Keypress: space
23.2033 	DATA 	Keypress: space
